id,edad,experiencia_laboral_anios,ingresos_mensuales,integrantes_familia,tdc_monto_promedio_mensual,escolaridad,hipoteca_monto_total,posee_prestamo,uso_portal,uso_tdc
34,30,6,18000,3,900,Medio Superior,0,0,1,0
35,31,5,50000,4,1800,Medio Superior,0,0,1,0
36,48,24,81000,3,700,Superior,0,0,0,0
37,59,35,121000,1,2900,Superior,0,0,1,1
38,51,25,71000,1,1400,Medio Superior,1980000,0,1,0
39,42,18,141000,3,5000,Medio Superior,0,1,1,0
40,38,13,80000,4,700,Medio Superior,2850000,0,1,0
41,57,32,84000,3,1600,Medio Superior,0,0,0,0
42,34,9,60000,3,2300,Superior,0,0,1,0
43,32,7,104489,4,1100,Elemental,4120000,1,1,0
44,39,15,45000,1,700,Superior,0,0,1,0
45,46,20,104000,1,5700,Superior,0,0,1,1
46,57,31,52000,4,2500,Superior,0,0,1,1
47,39,14,30677,3,700,Elemental,1530000,0,1,0
48,37,12,194000,4,200,Medio Superior,2110000,1,1,1
49,56,26,81000,2,4500,Medio Superior,0,0,1,1
50,40,16,49000,1,1800,Superior,0,0,1,1
51,32,8,11580,4,15193,Elemental,0,0,1,0
52,61,37,131000,1,2900,Superior,0,0,1,0
53,30,6,72000,1,100,Superior,2070000,0,0,0
54,50,26,190000,3,2100,Medio Superior,2400000,1,1,0
55,29,5,44000,1,200,Medio Superior,0,0,1,0
56,41,17,139000,2,8000,Superior,0,0,1,0
57,55,30,20802,3,100,Elemental,0,0,1,0
58,56,31,131000,2,1200,Medio Superior,0,1,0,0
59,28,2,93000,2,200,Superior,0,0,1,0
60,31,5,188000,2,4500,Superior,4550000,0,0,0
61,49,24,24814,3,1700,Elemental,0,0,1,0
62,47,21,125000,1,5700,Superior,1120000,0,1,0
63,42,18,22000,1,1000,Superior,0,0,1,0
64,42,17,23861,4,0,Elemental,0,0,1,0
65,47,23,105000,2,3300,Superior,0,0,0,0
66,59,35,131000,1,3800,Superior,0,0,1,1
67,62,36,105000,2,2800,Superior,3360000,0,1,0
68,53,23,45000,4,2000,Medio Superior,1320000,0,1,0
69,47,21,60000,3,2100,Superior,0,0,1,1
70,53,29,20000,4,200,Superior,0,0,1,0
71,42,18,115000,1,3500,Superior,0,0,0,1
72,53,29,45973,4,1000,Elemental,0,0,1,0
73,44,20,130000,1,5000,Superior,0,0,0,1
74,41,16,85000,1,4000,Medio Superior,0,0,1,1
75,28,3,135000,2,3300,Superior,0,0,0,1
76,31,7,112423,4,3800,Elemental,0,1,1,1
77,58,32,15389,3,14487,Medio Superior,0,0,0,0
78,46,20,20151,3,500,Elemental,0,0,0,0
79,54,30,133000,2,2600,Medio Superior,0,1,1,0
80,50,26,19000,2,400,Superior,1180000,0,1,0
81,60,36,41000,4,1300,Superior,1740000,0,1,1
82,47,22,33325,3,2700,Elemental,0,0,1,0
83,41,16,82000,1,4000,Medio Superior,0,0,1,0
84,33,9,39073,1,2400,Elemental,0,0,0,0
85,46,22,18000,1,900,Medio Superior,0,0,1,0
86,27,2,109000,4,1800,Medio Superior,0,0,0,0
87,40,16,29015,4,2200,Elemental,1260000,0,0,0
88,48,22,78000,3,1100,Superior,0,0,1,0
89,65,41,51000,2,1100,Superior,0,0,1,0
90,25,-1,113000,4,2300,Medio Superior,0,0,1,1
91,55,30,94933,4,5600,Elemental,0,1,1,0
92,35,10,29000,4,1100,Medio Superior,0,0,1,0
93,43,19,20130,3,600,Elemental,0,0,0,0
94,60,34,64000,2,1700,Medio Superior,2360000,0,1,0
95,65,39,121000,1,2000,Superior,0,0,1,0
96,38,12,48000,4,200,Medio Superior,0,0,1,0
97,41,15,80000,1,5200,Superior,0,0,1,0
98,54,28,161000,1,2900,Superior,0,0,1,0
99,49,23,94000,1,300,Superior,0,0,1,0
100,66,41,12493,3,15980,Medio Superior,0,0,1,0
101,48,23,74000,1,1200,Superior,0,0,1,0
102,61,36,20240,3,1300,Elemental,0,0,0,0
103,53,23,44000,3,1000,Medio Superior,1980000,0,1,1
104,43,18,14063,2,12466,Elemental,0,0,1,0
105,56,32,38000,4,1300,Superior,1660000,0,1,1
106,24,0,23544,3,100,Elemental,0,0,1,0
107,43,17,69000,4,2900,Superior,0,0,1,1
108,42,18,43000,1,700,Superior,1360000,0,1,0
109,33,7,32000,1,600,Medio Superior,1660000,0,1,0
110,43,17,49000,1,2800,Superior,0,0,1,0
111,41,14,12779,3,11208,Elemental,0,0,0,0
112,62,38,35114,4,1300,Elemental,0,0,1,0
113,40,15,82000,3,1000,Superior,3090000,0,0,0
114,58,34,92000,2,2800,Superior,1030000,0,0,0
115,39,14,39000,3,500,Medio Superior,0,0,1,0
116,65,40,56675,3,1800,Elemental,0,0,1,0
117,54,29,29041,1,1500,Elemental,0,0,1,0
118,58,33,61000,2,2300,Medio Superior,1930000,0,1,0
119,41,16,73000,3,3000,Superior,0,0,1,0
120,32,7,112000,1,4600,Superior,3660000,0,0,0
121,54,29,16168,2,12838,Medio Superior,0,0,1,0
122,52,26,38000,3,900,Medio Superior,0,0,1,0
123,58,32,46036,2,700,Elemental,0,0,1,1
124,37,13,61990,1,3600,Elemental,0,0,0,0
125,39,15,78000,4,2400,Superior,1180000,0,1,0
126,60,35,80000,3,500,Superior,0,0,1,0
127,31,5,115000,2,1300,Superior,1010000,0,1,1
128,34,8,44474,1,2700,Elemental,2510000,0,1,0
129,38,14,74000,2,0,Superior,0,0,1,0
130,41,16,70000,3,500,Medio Superior,0,0,0,1
131,28,4,81000,3,1500,Superior,2760000,0,1,0
132,58,34,122702,4,7200,Elemental,0,1,1,1
133,31,1,51000,2,1750,Medio Superior,0,0,1,0
134,30,4,26716,3,1100,Elemental,0,0,1,0
135,53,29,71204,3,1800,Elemental,0,0,1,0
136,58,33,45000,4,2100,Superior,0,0,1,1
137,59,32,40195,4,2500,Elemental,0,0,1,0
138,49,25,128000,2,400,Superior,0,0,0,0
139,59,34,42000,3,1500,Superior,0,0,0,1
140,59,35,18000,1,1200,Medio Superior,0,0,1,0
141,51,25,31000,2,400,Medio Superior,1610000,0,1,1
142,35,11,58000,3,2000,Superior,1490000,0,1,1
143,33,9,48000,1,2100,Medio Superior,0,0,1,1
144,25,1,54000,4,1600,Superior,0,0,1,1
145,49,23,42437,2,1500,Elemental,0,0,0,0
146,59,35,124000,1,7400,Superior,0,0,1,1
147,46,19,49083,1,2670,Elemental,0,0,1,1
148,50,25,83000,4,3600,Medio Superior,1880000,0,1,0
149,52,28,163000,2,400,Superior,1160000,0,1,0
150,48,22,30605,3,2200,Elemental,0,0,1,0
151,46,22,118000,2,7500,Superior,0,0,1,1
152,26,0,132000,3,6500,Medio Superior,0,1,1,1
153,57,32,24000,1,1300,Superior,0,0,1,1
154,60,36,22000,2,1000,Superior,0,0,1,1
155,54,29,58000,4,1300,Medio Superior,0,0,0,0
156,24,0,60000,4,1600,Superior,0,0,1,0
157,26,0,14453,4,12412,Superior,0,0,0,1
158,41,17,83000,4,2670,Superior,0,0,1,1
159,32,6,79000,2,1500,Medio Superior,0,0,1,1
160,61,35,34664,4,1700,Elemental,0,0,1,0
161,29,0,134000,4,6500,Medio Superior,0,1,0,0
162,61,35,80000,2,2800,Superior,0,0,1,0
163,38,12,52000,1,2000,Superior,0,0,1,0
164,28,4,70000,4,2600,Superior,0,0,1,0
165,53,27,92000,2,1100,Superior,0,0,1,0
166,27,1,43000,1,1500,Superior,0,0,1,0
167,25,1,16263,3,12491,Elemental,0,0,0,0
168,33,9,23000,3,900,Medio Superior,0,0,1,1
169,50,26,12398,4,16744,Superior,0,0,1,0
170,27,1,112000,4,2100,Medio Superior,0,0,1,1
171,27,1,138000,2,2000,Superior,0,0,1,0
172,52,28,15290,3,14001,Superior,0,0,0,0
173,38,13,171000,2,7800,Superior,0,0,1,0
174,58,34,42000,4,1500,Superior,0,0,1,1
175,42,17,145046,2,7900,Elemental,0,1,1,0
176,45,20,59238,4,1100,Elemental,0,0,1,0
177,52,25,32606,3,1000,Elemental,1350000,0,1,0
178,29,3,32528,4,1800,Elemental,2440000,0,0,0
179,53,29,24000,4,200,Superior,0,0,1,1
180,62,37,15447,1,15734,Superior,0,0,1,0
181,51,27,38000,2,1000,Medio Superior,1640000,0,1,0
182,36,12,11192,4,14941,Elemental,810000,0,0,0
183,24,0,135000,1,1500,Superior,0,0,1,0
184,29,3,148000,3,4100,Superior,0,1,1,0
185,52,26,43190,2,1500,Elemental,0,0,1,0
186,39,14,115000,1,1000,Medio Superior,0,0,1,0
187,48,23,45000,1,300,Superior,0,0,1,1
188,46,21,159000,3,1900,Medio Superior,3150000,1,1,0
189,64,40,169000,2,2100,Superior,1220000,0,1,0
190,55,29,112000,2,1400,Superior,0,0,1,0
191,60,36,93000,1,4300,Superior,0,0,1,0
192,51,25,29000,1,300,Medio Superior,1400000,0,1,0
193,50,23,59928,1,2670,Elemental,0,0,1,0
194,48,24,21000,4,600,Superior,0,0,1,1
195,53,29,144000,2,6800,Superior,0,0,1,0
196,34,10,11239,4,11154,Superior,950000,0,1,0
197,48,24,165000,1,5000,Superior,0,0,0,1
198,55,31,12916,4,14275,Superior,890000,0,1,0
199,27,3,59000,4,0,Superior,900000,0,1,0
200,36,11,158000,1,5100,Medio Superior,0,1,1,1
201,32,6,29000,1,1900,Medio Superior,0,0,1,1
202,35,9,20000,2,1400,Medio Superior,0,0,1,1
203,30,3,45438,4,2000,Elemental,0,0,1,0
204,58,34,65000,4,2200,Superior,0,0,1,0
205,56,31,46980,2,1900,Elemental,1050000,0,0,0
206,38,12,53363,4,1400,Elemental,1000000,0,0,1
207,49,25,31000,1,1000,Superior,0,0,1,0
208,34,10,39147,4,100,Elemental,0,0,0,0
209,40,16,73000,4,2670,Superior,0,0,1,1
210,64,39,172000,4,3100,Superior,2820000,1,1,1
211,51,26,20000,2,0,Superior,0,0,1,0
212,44,18,55000,1,200,Superior,0,0,1,0
213,46,22,69000,2,1700,Superior,2090000,0,0,0
214,57,33,155000,1,7400,Superior,0,0,1,0
215,54,28,68870,1,1900,Elemental,0,0,0,0
216,38,14,92000,2,0,Superior,2490000,0,1,1
217,27,3,125000,2,600,Superior,0,0,0,0
218,39,14,74000,3,3000,Superior,0,0,1,0
219,44,20,72000,3,300,Medio Superior,0,0,1,0
220,56,30,61000,1,2200,Medio Superior,0,0,1,1
221,32,6,25000,2,300,Superior,0,0,1,1
222,45,19,56224,2,1700,Elemental,0,0,1,0
223,26,2,104000,3,2500,Superior,0,0,1,0
224,55,25,41000,3,1000,Medio Superior,0,0,1,0
225,52,27,58000,4,1800,Medio Superior,910000,0,0,0
226,39,13,93000,1,1500,Medio Superior,0,0,0,1
227,24,-1,25225,2,1700,Elemental,0,0,0,0
228,47,23,148000,2,7500,Superior,0,0,1,1
229,47,22,53000,4,1900,Medio Superior,980000,0,0,1
230,48,24,71000,2,1700,Superior,1450000,0,0,1
231,47,22,55313,1,2800,Elemental,0,0,1,0
232,35,10,61000,4,2100,Medio Superior,0,0,1,0
233,46,19,25135,3,2500,Elemental,1350000,0,0,0
234,62,37,58000,4,1700,Superior,0,0,1,0
235,26,1,55071,1,800,Elemental,1500000,0,0,0
236,38,8,71000,4,1800,Medio Superior,0,0,1,0
237,43,18,89000,3,500,Medio Superior,0,0,1,1
238,62,38,83000,1,1800,Medio Superior,0,0,1,0
239,57,32,28000,3,200,Superior,0,0,1,1
240,28,3,42887,4,1700,Elemental,0,0,0,0
241,51,26,70000,1,1200,Superior,1690000,0,0,0
242,48,22,71000,1,1400,Medio Superior,0,0,0,1
243,41,16,75000,1,3700,Medio Superior,2800000,0,0,0
244,65,39,170000,3,7900,Medio Superior,990000,1,1,0
245,41,17,78000,4,800,Superior,780000,0,1,0
246,35,11,16406,2,14718,Elemental,0,0,0,0
247,38,14,60000,2,600,Medio Superior,0,0,1,1
248,53,29,89780,4,2700,Elemental,1110000,1,1,0
249,55,29,99000,2,1400,Superior,2640000,0,1,1
250,26,1,55000,3,2600,Medio Superior,1130000,0,1,1
251,30,6,18062,3,1000,Elemental,1170000,0,0,0
252,54,28,143055,2,6200,Elemental,3250000,1,1,0
253,65,40,53000,3,2200,Superior,0,0,1,1
254,47,21,138000,1,0,Superior,0,0,0,0
255,65,41,134000,3,3900,Medio Superior,1210000,1,1,0
256,66,40,42000,2,700,Medio Superior,1380000,0,0,1
257,26,0,99000,4,2300,Medio Superior,0,0,1,1
258,66,41,18000,3,500,Superior,0,0,0,1
259,35,9,24000,4,300,Superior,0,0,1,0
260,56,30,55000,1,1400,Superior,770000,0,1,0
261,51,27,58000,1,0,Superior,0,0,1,1
262,42,16,111000,2,1200,Medio Superior,2510000,1,1,0
263,49,23,33000,1,300,Medio Superior,0,0,1,1
264,27,1,46784,4,1800,Elemental,1120000,0,1,1
265,45,19,38000,2,700,Superior,0,0,0,0
266,49,23,23000,4,600,Medio Superior,980000,0,1,0
267,63,38,61000,2,1500,Superior,0,0,1,0
268,47,22,81000,1,2900,Superior,1380000,0,1,0
269,64,39,129000,1,2500,Superior,0,0,1,0
270,43,13,33000,1,750,Medio Superior,0,0,1,0
271,60,36,63000,4,2200,Superior,0,0,1,0
272,40,14,47668,4,1400,Elemental,0,0,1,0
273,29,3,45000,4,200,Superior,1580000,0,1,1
274,41,16,65000,3,500,Medio Superior,0,0,1,0
275,30,5,74000,4,2200,Superior,0,0,0,1
276,49,24,50000,4,1800,Medio Superior,0,0,0,0
277,30,5,22000,4,500,Medio Superior,1090000,0,1,0
278,29,2,30000,4,1000,Medio Superior,0,0,0,0
279,50,26,21000,4,1000,Superior,0,0,1,0
280,39,14,155000,2,3900,Superior,0,0,1,0
281,33,8,64000,4,2100,Medio Superior,1640000,0,1,0
282,57,31,65000,4,2600,Medio Superior,0,0,0,1
283,34,9,71000,4,700,Medio Superior,0,0,1,0
284,61,36,32362,3,500,Elemental,0,0,1,0
285,44,19,69000,3,500,Medio Superior,0,0,1,0
286,40,13,35313,3,2330,Elemental,0,0,0,0
287,51,25,32384,3,600,Elemental,1310000,0,1,0
288,37,12,49309,3,700,Elemental,0,0,0,1
289,44,19,172000,2,4300,Medio Superior,3910000,1,1,0
290,42,15,13302,3,11762,Elemental,0,0,1,1
291,51,25,80000,1,4900,Superior,0,0,1,0
292,43,16,11957,3,14636,Elemental,880000,0,1,0
293,30,5,38000,4,800,Superior,1290000,0,1,1
294,45,19,93000,4,2600,Medio Superior,0,0,0,0
295,35,9,55000,1,2000,Superior,0,0,1,0
296,60,34,64000,2,1700,Medio Superior,0,0,0,1
297,34,9,122000,1,0,Superior,0,0,1,0
298,55,25,70000,3,1400,Medio Superior,0,0,1,0
299,43,19,81000,2,3200,Superior,0,0,1,0
300,41,15,159000,1,5500,Medio Superior,0,1,1,0
301,34,9,70000,4,1300,Superior,0,0,0,0
302,65,39,150000,2,6900,Superior,1960000,0,1,0
303,45,21,152000,2,7500,Superior,0,0,1,0
304,49,25,195000,4,3000,Superior,6170000,1,0,0
305,48,23,22000,1,100,Superior,0,0,1,0
306,60,35,22000,1,1300,Superior,1230000,0,1,0
307,55,29,79000,3,800,Superior,0,0,1,1
308,42,18,33000,1,1400,Medio Superior,0,0,1,0
309,32,8,128000,2,4330,Superior,0,0,1,1
310,62,38,91000,1,3800,Superior,0,0,1,0
311,57,32,39000,4,900,Superior,0,0,1,1
312,52,26,121000,1,7300,Superior,1670000,0,1,0
313,36,6,21000,1,670,Medio Superior,0,0,1,0
314,34,9,41000,3,2300,Superior,0,0,0,1
315,63,37,45000,2,700,Medio Superior,0,0,1,0
316,24,-2,51000,3,300,Medio Superior,0,0,1,0
317,57,31,129520,1,1600,Elemental,0,1,1,0
318,40,16,97914,2,4200,Elemental,0,1,1,0
319,27,2,110000,4,1800,Medio Superior,1900000,0,1,0
320,65,39,12644,3,16310,Elemental,0,0,0,1
321,60,34,32446,1,800,Elemental,2480000,0,0,0
322,44,20,70367,3,4400,Elemental,820000,1,0,0
323,63,39,101000,1,3900,Superior,0,1,1,0
324,59,34,99000,1,4400,Superior,0,1,1,0
325,56,30,158000,4,6100,Superior,0,1,0,0
326,54,28,52686,1,1900,Elemental,0,0,1,1
327,52,27,80000,1,1300,Medio Superior,0,0,1,1
328,58,32,114000,2,2000,Superior,4020000,0,1,0
329,60,35,35395,3,500,Elemental,0,0,1,1
330,28,4,191000,1,6330,Superior,0,0,1,0
331,54,30,42548,4,1000,Elemental,0,0,1,0
332,32,6,28000,3,1000,Superior,0,0,1,0
333,59,33,27692,1,800,Elemental,0,0,1,0
334,63,38,140000,1,2500,Superior,0,0,1,0
335,48,23,35102,1,1300,Elemental,0,0,1,0
336,56,32,122000,2,300,Superior,3600000,0,1,1
337,36,12,46936,3,2600,Elemental,0,0,1,0
338,57,27,68000,1,1400,Medio Superior,0,0,1,0
339,29,3,153000,2,2000,Superior,3920000,0,1,0
340,39,13,61134,4,1400,Elemental,0,0,0,0
341,59,34,91000,1,2600,Superior,0,0,1,1
342,31,6,40136,4,2000,Elemental,1850000,0,1,0
343,43,19,118000,2,3300,Superior,0,0,0,1
344,35,5,22000,1,670,Medio Superior,1030000,0,1,0
345,54,24,63000,3,1400,Medio Superior,1380000,0,1,1
346,51,27,12682,4,12230,Elemental,780000,0,1,0
347,44,19,43888,3,2700,Elemental,0,0,1,0
348,25,0,43000,2,1600,Medio Superior,0,0,1,1
349,40,15,173000,4,6600,Superior,0,1,1,1
350,26,2,60000,2,3000,Superior,1320000,1,1,0
351,39,14,113000,1,1000,Medio Superior,0,0,1,0
352,28,4,128971,4,5300,Elemental,0,1,1,0
353,52,28,59967,4,1000,Elemental,0,0,0,1
354,53,29,46101,4,1100,Elemental,0,0,1,0
355,44,20,173000,2,1400,Superior,4190000,0,1,0
356,43,19,71000,3,300,Medio Superior,0,0,0,1
357,56,30,24000,2,400,Medio Superior,880000,0,0,0
358,38,14,32586,1,2000,Elemental,810000,0,1,0
359,30,6,141000,2,4330,Superior,0,0,1,0
360,32,6,32000,1,1900,Medio Superior,0,0,1,0
361,35,10,55000,4,1300,Superior,0,0,1,0
362,43,19,153000,2,7500,Superior,0,0,1,0
363,58,32,113000,2,1400,Superior,2700000,0,0,1
364,25,0,21803,2,1700,Elemental,0,0,0,0
365,54,24,29000,3,1000,Medio Superior,1480000,0,1,1
366,57,32,149978,1,6800,Elemental,4660000,1,1,0
367,50,24,35000,1,300,Medio Superior,0,0,1,0
368,32,8,75392,2,2000,Elemental,1750000,0,1,0
369,63,37,30000,2,1000,Medio Superior,1590000,0,1,0
370,31,6,58000,2,2500,Superior,0,0,1,1
371,36,12,25000,4,1000,Superior,1470000,0,1,0
372,58,34,19000,4,700,Superior,0,0,0,0
373,56,30,38885,4,700,Elemental,1740000,0,1,0
374,49,25,20000,4,1000,Superior,1110000,0,1,1
375,30,5,98000,2,3100,Superior,2200000,0,1,0
376,33,7,90000,3,1600,Superior,0,0,1,0
377,45,21,61000,3,700,Superior,0,0,0,0
378,30,5,28285,4,2000,Elemental,0,0,1,0
379,47,23,38000,2,2100,Medio Superior,0,0,0,0
380,25,0,17916,2,1700,Elemental,0,0,0,0
381,63,33,34000,1,1500,Medio Superior,0,0,1,1
382,55,29,73000,2,2300,Medio Superior,0,0,1,1
383,65,41,133000,4,2000,Superior,0,1,0,1
384,44,18,53000,1,200,Superior,0,0,1,0
385,51,25,21000,4,600,Medio Superior,0,0,1,1
386,35,9,40000,3,900,Superior,0,0,1,0
387,30,5,27752,4,1700,Elemental,0,0,1,0
388,31,5,64919,4,1800,Elemental,0,0,1,0
389,54,30,100000,4,3400,Medio Superior,0,1,0,0
390,45,20,155000,1,7000,Superior,0,0,1,1
391,45,19,45000,1,200,Superior,0,0,1,0
392,58,32,14055,3,13553,Medio Superior,0,0,0,1
393,54,29,48000,4,1800,Medio Superior,0,0,1,0
394,53,28,18000,4,100,Medio Superior,1090000,0,1,1
395,33,9,80000,4,3400,Superior,0,0,1,1
396,60,35,64000,2,2800,Superior,0,0,1,0
397,50,24,29000,4,100,Superior,0,0,1,0
398,26,2,38894,3,700,Elemental,0,0,1,0
399,54,30,23000,2,400,Superior,0,0,1,0
400,28,3,84000,4,200,Superior,0,0,1,1
401,36,10,179000,3,6600,Superior,0,1,1,0
402,29,2,17905,4,1500,Elemental,1120000,0,0,1
403,54,28,93000,1,4900,Superior,1330000,0,1,1
404,55,30,26581,2,1900,Elemental,0,0,0,0
405,61,36,36662,3,500,Elemental,1820000,0,0,0
406,36,11,133000,1,3800,Superior,2900000,0,1,1
407,45,19,125000,1,2400,Superior,0,0,1,0
408,64,40,58000,1,1800,Medio Superior,0,0,1,0
409,60,36,89000,2,2800,Superior,0,0,1,0
410,49,22,51990,1,2670,Elemental,1250000,0,1,0
411,47,23,110000,2,3300,Superior,0,0,1,1
412,60,36,54000,4,2300,Medio Superior,0,0,1,0
413,45,20,89000,4,1900,Medio Superior,0,0,1,0
414,32,7,42000,3,2300,Superior,0,0,1,0
415,52,28,35729,3,1900,Elemental,0,0,0,1
416,35,8,30741,4,1000,Elemental,1240000,0,1,0
417,40,15,85000,2,400,Superior,0,0,1,0
418,53,29,47206,4,1000,Elemental,0,0,1,0
419,27,0,33000,4,1000,Medio Superior,0,0,1,0
420,58,33,50000,4,2100,Superior,0,0,1,1
421,47,22,58000,4,3600,Medio Superior,0,0,1,1
422,28,3,88548,4,3100,Elemental,0,1,0,0
423,46,20,145000,2,6300,Superior,0,0,1,0
424,43,19,161000,2,7500,Superior,0,0,0,0
425,56,30,38000,1,200,Superior,0,0,0,0
426,28,3,28000,4,800,Superior,0,0,1,0
427,42,18,75000,3,2330,Superior,0,0,1,1
428,32,7,35000,3,1300,Superior,1160000,0,0,1
429,62,38,24000,2,1000,Superior,1160000,0,1,1
430,37,13,51118,4,100,Elemental,0,0,1,0
431,51,26,113000,1,1300,Medio Superior,1610000,0,1,0
432,39,13,75000,3,2100,Superior,2240000,0,1,0
433,43,17,91000,1,5700,Superior,0,0,1,0
434,52,28,31000,4,200,Superior,1410000,0,1,1
435,30,6,31679,1,1800,Elemental,0,0,1,0
436,52,26,80000,3,800,Superior,0,0,1,0
437,61,35,50000,3,1400,Medio Superior,1120000,0,1,0
438,36,9,23896,4,1000,Elemental,0,0,1,0
439,58,32,88123,2,3800,Elemental,1190000,1,1,1
440,47,23,29000,4,600,Superior,0,0,1,0
441,64,39,59000,2,1500,Superior,1390000,0,1,0
442,52,27,32385,1,1300,Elemental,0,0,1,0
443,58,28,122000,1,3000,Medio Superior,1150000,1,1,0
444,48,24,29000,1,1000,Superior,0,0,1,0
445,64,40,91000,2,0,Medio Superior,0,0,1,1
446,58,32,65000,3,2200,Medio Superior,0,0,1,0
447,47,23,22000,1,1000,Superior,0,0,0,1
448,49,23,71000,1,1400,Medio Superior,0,0,1,0
449,31,4,32746,4,2000,Elemental,0,0,1,1
450,61,37,60000,3,2000,Medio Superior,0,0,1,0
451,51,25,69000,1,300,Superior,0,0,1,1
452,28,-2,48000,2,1750,Medio Superior,890000,0,1,0
453,39,13,13141,3,11744,Elemental,0,0,0,0
454,54,28,46124,4,2800,Elemental,0,0,0,0
455,50,24,29000,3,900,Medio Superior,0,0,0,0
456,30,4,35172,4,2200,Elemental,0,0,1,0
457,64,39,30034,3,500,Elemental,1160000,0,1,0
458,29,3,69000,3,300,Medio Superior,0,0,0,0
459,48,24,20000,1,1000,Superior,0,0,1,1
460,35,10,200000,2,3000,Superior,4580000,0,1,0
461,60,36,141000,2,2100,Superior,0,0,1,1
462,55,30,81000,2,3700,Superior,0,0,1,0
463,29,4,183000,3,8300,Medio Superior,0,1,1,0
464,48,22,119432,2,5500,Elemental,0,1,1,0
465,43,19,83000,4,3600,Medio Superior,0,1,0,1
466,66,42,22719,1,1900,Elemental,1720000,0,1,0
467,25,0,16485,2,12153,Medio Superior,0,0,1,0
468,45,20,39000,1,2400,Superior,0,0,1,1
469,34,10,21000,1,500,Medio Superior,0,0,1,0
470,48,23,11771,2,15872,Medio Superior,0,0,1,1
471,32,6,52142,4,1800,Elemental,0,0,0,0
472,50,24,30000,4,100,Superior,1610000,0,1,1
473,43,19,31000,4,300,Superior,1560000,0,1,0
474,64,39,159629,1,1200,Elemental,5470000,1,1,0
475,60,34,114000,2,6900,Superior,0,0,1,0
476,43,19,122240,3,6100,Elemental,0,1,0,0
477,60,34,40119,1,800,Elemental,0,0,0,1
478,64,39,10749,4,13470,Elemental,780000,0,1,0
479,44,20,150000,2,3300,Superior,0,0,1,1
480,60,36,132000,2,6000,Superior,4700000,0,1,1
481,54,29,68000,3,1600,Medio Superior,0,0,1,1
482,33,9,53000,1,1200,Superior,0,0,0,1
483,56,32,150277,1,4600,Elemental,880000,1,1,0
484,29,5,21705,3,1000,Elemental,0,0,0,0
485,25,1,113000,2,200,Superior,0,0,1,1
486,60,34,14172,1,15251,Elemental,0,0,1,0
487,55,30,84000,2,3700,Superior,3040000,0,1,0
488,39,13,52611,4,1400,Elemental,0,0,1,1
489,37,13,43000,3,2800,Superior,0,0,1,0
490,53,28,43000,2,2100,Medio Superior,0,0,1,1
491,34,10,90000,2,2700,Superior,0,0,1,0
492,42,18,34000,4,300,Superior,1040000,0,1,0
493,60,36,38000,4,1300,Superior,0,0,1,0
494,50,24,173000,1,1000,Superior,0,0,1,1
495,41,17,160000,2,8000,Superior,0,0,1,0
496,25,0,37995,4,600,Elemental,0,0,1,1
497,50,24,83000,2,400,Medio Superior,0,0,1,0
498,48,22,94000,4,2600,Medio Superior,0,0,1,0
499,32,8,43000,1,2100,Medio Superior,0,0,0,1
500,50,25,32369,3,1700,Elemental,0,0,1,0
501,59,33,34000,2,300,Superior,0,0,0,0
502,50,26,33474,3,1900,Elemental,0,0,1,0
503,44,19,46100,1,100,Elemental,0,0,0,0
504,31,5,39000,4,1800,Medio Superior,1850000,0,1,1
